a1,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,itemtype,image,question,question+AF8-label,level+AF8-1,value+AF8-level+AF8-1,level+AF8-2,value+AF8-level+AF8-2,level+AF8-3,value+AF8-level+AF8-3,level+AF8-4,value+AF8-level+AF8-4,level+AF8-5,value+AF8-level+AF8-5,level+AF8-6,value+AF8-level+AF8-6,level+AF8-7,value+AF8-level+AF8-7,level+AF8-8,value+AF8-level+AF8-8,level+AF8-9,value+AF8-level+AF8-9,level+AF8-10,value+AF8-level+AF8-10,level+AF8-11,value+AF8-level+AF8-11
0.727732876366522,+AC0-0.117285595887144,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-charac+AF8-painfulcold1+AF8-2,DN4 Question 2,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.557668701123217,0.541937518562702,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-charac+AF8-electric+AF8-shock1+AF8-3,DN4 Question 3,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.707768536483217,0.361273598417234,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-symp+AF8-pinsneedles2+AF8-2,DN4 Question 5,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.884821368714896,1.61151000525216,0.504257310723082,+AC0-0.626775172609236,+AC0-2.12115296828299,+AC0-2.60401961802256,+AC0-4.59282488216444,NA,NA,NA,NA,graded,NA,CGIS+AF8-postrx+AF8-patient+AF8-eval+AF8-1,CGIS Question 1,Very much improved,1,Much improved,2,Minimally improved,3,No change,4,Minimally worse,5,Much worse,6,Very much worse,7,NA,NA,NA,NA,NA,NA,NA,NA
0.67751073172192,2.5394781198038,1.14386032142452,0.367544184018379,+AC0-1.61091869474616,+AC0-2.35858959777399,+AC0-4.2218204997764,NA,NA,NA,NA,graded,NA,CGIS+AF8-postrx+AF8-evaluator+AF8-eval+AF8-2,CGIS Question 2,Very much improved,1,Much improved,2,Minimally improved,3,No change,4,Minimally worse,5,Much worse,6,Very much worse,7,NA,NA,NA,NA,NA,NA,NA,NA
1.41285543547963,2.40395750867237,1.27637775990366,+AC0-0.482192575254105,NA,NA,NA,NA,NA,NA,NA,graded,NA,pain+AF8-intensity,Pain Intensity Question 1,No pain,1,Mild pain,2,Moderate pain,3,Severe pain,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.67001007763314,5.56032867113227,4.49359774986827,3.9386648736882,3.47784514231066,2.58067958340064,1.8696379196915,1.14141666703079,0.092055834223328,+AC0-1.29523371267626,+AC0-2.3394042859271,graded,NA,BPI+AF8-worstpain+AF8-24hrs+AF8-1,BPI Question 1,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.06426782140073,2.98309625651526,2.38124213514504,1.41508215172978,0.655065877855364,+AC0-0.081415175423889,+AC0-0.711035856521569,+AC0-1.3010201242708,+AC0-1.96754541111698,+AC0-3.29268912657016,+AC0-4.54755647421502,graded,NA,BPI+AF8-lesspain+AF8-24hrs+AF8-2,BPI Question 2,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.40683952644313,4.80850862701202,4.30259479015689,3.75654010500346,2.51751205095499,1.59620078486135,0.702379927383111,+AC0-0.139030752662849,+AC0-1.21834635457214,+AC0-2.58713371120036,+AC0-3.45504899077752,graded,NA,BPI+AF8-averagepain+AF8-24hrs+AF8-3,BPI Question 3,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.56060178729851,3.35799275269961,2.77747351523193,2.23101187948484,1.61561139862123,1.19710259153165,0.57758037329652,+AC0-0.03320760762934,+AC0-0.826669589889822,+AC0-2.18045375370557,+AC0-3.35201181360372,graded,NA,BPI+AF8-pain+AF8-intensity+AF8-rightnow+AF8-4,BPI Question 4,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
2.58381002224043,4.11684673092416,3.68649935897254,3.34116560835022,2.65579097944565,1.96332868306651,1.04888932902385,0.436912635325604,+AC0-0.605639603055263,+AC0-2.0036443986553,+AC0-3.39225135747374,graded,NA,BPI+AF8-overallactivity24hrs+AF8-6,BPI Question 5,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.92556986036285,2.62813161470071,2.34389895433236,2.02700379497702,1.51824508891729,1.09061642297936,0.483106918362,0.187665233703899,+AC0-0.596111922673712,+AC0-1.47800763843847,+AC0-2.29960617060121,graded,NA,BPI+AF8-mood24hrs+AF8-7,BPI Question 6,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.36445108475822,2.10521178910364,1.89982225223903,1.71307774215561,1.30535598278458,1.1281174328555,0.574801444433409,0.115752451024864,+AC0-0.313995941405405,+AC0-0.970546290184318,+AC0-1.71633604508447,graded,NA,BPI+AF8-walking24hrs+AF8-8,BPI Question 7,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.90365388558111,3.07742109580526,2.82039631262925,2.4139965658182,1.94069105424321,1.42231858888927,0.766297831953973,0.326675299491902,+AC0-0.162203180357795,+AC0-0.915456746407843,+AC0-1.64066371569664,graded,NA,BPI+AF8-work24hrs+AF8-9,BPI Question 8,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.6617909726454,1.36046058080143,1.20447131498116,0.799892732142189,0.319892583709269,+AC0-0.10987729977709,+AC0-0.44273744986116,+AC0-0.965364168705271,+AC0-1.4106626486957,+AC0-2.05734643629979,+AC0-2.94854244183305,graded,NA,BPI+AF8-relaltionsp+AF8-people+AF8-24hrs+AF8-10,BPI Question 9,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.70005647640518,2.42827740810389,2.23894528279453,1.88840057990624,1.46099444238107,1.09425358390367,0.612881212081049,0.113682305071574,+AC0-0.436508857240657,+AC0-1.27018150828298,+AC0-2.12595445949146,graded,NA,BPI+AF8-sleep24hrs+AF8-11,BPI Question 10,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.69449457940383,1.22638277084604,1.03071612672603,0.790737163935218,0.465442000732225,0.211671528666926,+AC0-0.250119771005464,+AC0-0.647032713356994,+AC0-1.0560541395065,+AC0-1.63770462320182,+AC0-2.23683665154794,graded,NA,BPI+AF8-ability+AF8-enjoylife24hrs+AF8-12,BPI Question 11,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
0.950805066730487,0.517856430906667,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-throbbing,MPQ Sensory Question 1,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.974345086713274,0.65656088815504,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-jumping,MPQ Sensory Question 2,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.730469349607465,0.455824566997682,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-flashing,MPQ Sensory Question 3,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.692004226562418,0.329574687438818,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-sharp+AF8-pricking,MPQ Sensory Question 4,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92477008103173,0.303226799834733,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-tugging,MPQ Sensory Question 5,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.777771200094849,0.062654995805431,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-spreading,MPQ Sensory Question 6,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.641671906212806,1.19769211258473,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-sensorial+AF8-aching,MPQ Sensory Question 7,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.06116407159339,1.19682553446812,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-affective+AF8-tiring+AF8-exhausting,MPQ Affective Question 1,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.61062362561325,0.089091858951983,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-affective+AF8-sickening,MPQ Affective Question 2,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.43841545094296,+AC0-0.832475519773001,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-affective+AF8-suffocating,MPQ Affective Question 3,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.53639463607641,+AC0-1.00464212720712,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-affective+AF8-frightful+AF8-blinding,MPQ Affective Question 4,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.665153243790155,0.829667190927902,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-affective+AF8-nagging,MPQ Affective Question 5,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7360527887941,+AC0-0.342829095608347,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,mcgill+AF8-eval+AF8-unbearable,MPQ Evaluative Question 1,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.54259474383004,1.82248111662644,1.2401382708928,0.160146951350055,NA,NA,NA,NA,NA,NA,NA,graded,NA,PSQI+AF8-troublesleep+AF8-pain+AF8-13,PSQI Question 13,Not during the past month,1,Less than once a week,2,Once or twice a week,3,Three or more times a week,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.93496556044672,3.03454637197282,1.09083189356344,0.251813574049459,+AC0-1.99008560641106,NA,NA,NA,NA,NA,NA,graded,NA,SF12+AF8-pain+AF8-disruptedwork+AF8-8,SF12 Question 8,Not at all,1,A little bit,2,Moderately,3,Quite a bit,4,Extremely,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9984204211587,4.75336404484138,+AC0-0.708527750017144,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,EQ5D+AF8-pain+AF8-discomfort+AF8-4,EQ5D Question 4,I have no pain or discomfort,1,I have moderate pain or discomfort,2,I have extreme pain or discomfort,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
